Heuristic,Puzzle,Depth,Explored Nodes,Max Fringe Size,Elapsed Time,Expanded Nodes
misplaced,"-------------
| 1 | 2 | 8 |
-------------
| 3 | 5 |   |
-------------
| 6 | 7 | 4 |
-------------",13,483,119,0.035676600000442704,182
euclidean,"-------------
| 1 | 2 | 8 |
-------------
| 3 | 5 |   |
-------------
| 6 | 7 | 4 |
-------------",13,335,87,0.0197864000001573,124
manhattan,"-------------
| 1 | 2 | 8 |
-------------
| 3 | 5 |   |
-------------
| 6 | 7 | 4 |
-------------",13,337,93,0.020380800000566524,122
out_of_position,"-------------
| 1 | 2 | 8 |
-------------
| 3 | 5 |   |
-------------
| 6 | 7 | 4 |
-------------",13,331,79,0.021948000001430046,126
misplaced,"-------------
| 3 | 2 | 5 |
-------------
| 4 | 8 | 7 |
-------------
| 6 |   | 1 |
-------------",11,177,49,0.008682299998326926,64
euclidean,"-------------
| 3 | 2 | 5 |
-------------
| 4 | 8 | 7 |
-------------
| 6 |   | 1 |
-------------",11,89,25,0.00298060000204714,32
manhattan,"-------------
| 3 | 2 | 5 |
-------------
| 4 | 8 | 7 |
-------------
| 6 |   | 1 |
-------------",11,97,27,0.002449999999953434,35
out_of_position,"-------------
| 3 | 2 | 5 |
-------------
| 4 | 8 | 7 |
-------------
| 6 |   | 1 |
-------------",11,119,33,0.00458720000096946,43
misplaced,"-------------
| 1 | 5 | 7 |
-------------
| 3 | 2 |   |
-------------
| 4 | 6 | 8 |
-------------",13,417,105,0.030454600000666687,156
euclidean,"-------------
| 1 | 5 | 7 |
-------------
| 3 | 2 |   |
-------------
| 4 | 6 | 8 |
-------------",13,176,48,0.006397499997547129,64
manhattan,"-------------
| 1 | 5 | 7 |
-------------
| 3 | 2 |   |
-------------
| 4 | 6 | 8 |
-------------",13,117,29,0.004352399999334011,44
out_of_position,"-------------
| 1 | 5 | 7 |
-------------
| 3 | 2 |   |
-------------
| 4 | 6 | 8 |
-------------",13,146,36,0.004652199997508433,55
misplaced,"-------------
| 1 | 8 | 2 |
-------------
| 3 | 5 |   |
-------------
| 6 | 4 | 7 |
-------------",11,229,55,0.010343999998440268,87
euclidean,"-------------
| 1 | 8 | 2 |
-------------
| 3 | 5 |   |
-------------
| 6 | 4 | 7 |
-------------",11,165,45,0.008083000000624452,60
manhattan,"-------------
| 1 | 8 | 2 |
-------------
| 3 | 5 |   |
-------------
| 6 | 4 | 7 |
-------------",11,187,49,0.011807899998530047,69
out_of_position,"-------------
| 1 | 8 | 2 |
-------------
| 3 | 5 |   |
-------------
| 6 | 4 | 7 |
-------------",11,159,41,0.010933499997918261,59
misplaced,"-------------
| 4 |   | 2 |
-------------
| 1 | 3 | 5 |
-------------
| 6 | 7 | 8 |
-------------",5,28,10,0.00032389999978477135,9
euclidean,"-------------
| 4 |   | 2 |
-------------
| 1 | 3 | 5 |
-------------
| 6 | 7 | 8 |
-------------",5,17,7,0.0003342000018164981,5
manhattan,"-------------
| 4 |   | 2 |
-------------
| 1 | 3 | 5 |
-------------
| 6 | 7 | 8 |
-------------",5,17,7,0.0005128999982844107,5
out_of_position,"-------------
| 4 |   | 2 |
-------------
| 1 | 3 | 5 |
-------------
| 6 | 7 | 8 |
-------------",5,17,7,0.00026950000028591603,5
misplaced,"-------------
| 1 | 4 | 2 |
-------------
| 7 | 5 | 8 |
-------------
| 3 |   | 6 |
-------------",9,78,22,0.0019008999988727737,28
euclidean,"-------------
| 1 | 4 | 2 |
-------------
| 7 | 5 | 8 |
-------------
| 3 |   | 6 |
-------------",9,48,16,0.0009166999989247415,16
manhattan,"-------------
| 1 | 4 | 2 |
-------------
| 7 | 5 | 8 |
-------------
| 3 |   | 6 |
-------------",9,56,18,0.0010533999993640464,19
out_of_position,"-------------
| 1 | 4 | 2 |
-------------
| 7 | 5 | 8 |
-------------
| 3 |   | 6 |
-------------",9,46,14,0.0008537000030628406,16
misplaced,"-------------
| 3 | 1 | 2 |
-------------
| 7 | 5 |   |
-------------
| 4 | 6 | 8 |
-------------",7,40,12,0.0006304000016825739,14
euclidean,"-------------
| 3 | 1 | 2 |
-------------
| 7 | 5 |   |
-------------
| 4 | 6 | 8 |
-------------",7,29,11,0.0004805999997188337,9
manhattan,"-------------
| 3 | 1 | 2 |
-------------
| 7 | 5 |   |
-------------
| 4 | 6 | 8 |
-------------",7,32,12,0.0005021999968448654,10
out_of_position,"-------------
| 3 | 1 | 2 |
-------------
| 7 | 5 |   |
-------------
| 4 | 6 | 8 |
-------------",7,26,10,0.0007221999985631555,8
misplaced,"-------------
| 4 |   | 2 |
-------------
| 1 | 3 | 5 |
-------------
| 6 | 7 | 8 |
-------------",5,28,10,0.0005220999992161524,9
euclidean,"-------------
| 4 |   | 2 |
-------------
| 1 | 3 | 5 |
-------------
| 6 | 7 | 8 |
-------------",5,17,7,0.0005166000009921845,5
manhattan,"-------------
| 4 |   | 2 |
-------------
| 1 | 3 | 5 |
-------------
| 6 | 7 | 8 |
-------------",5,17,7,0.0002612000025692396,5
out_of_position,"-------------
| 4 |   | 2 |
-------------
| 1 | 3 | 5 |
-------------
| 6 | 7 | 8 |
-------------",5,17,7,0.00025770000138436444,5
misplaced,"-------------
| 1 | 4 | 2 |
-------------
|   | 7 | 5 |
-------------
| 3 | 6 | 8 |
-------------",5,19,7,0.00017430000298190862,6
euclidean,"-------------
| 1 | 4 | 2 |
-------------
|   | 7 | 5 |
-------------
| 3 | 6 | 8 |
-------------",5,19,7,0.0002782000010483898,6
